from,to,open,close,min,max,volume
1745425920,1745425980,1.135285,1.13541,1.1352,1.135435,355
1745425980,1745426040,1.13541,1.13542,1.13517,1.13547,318
1745426040,1745426100,1.135425,1.13523,1.135195,1.135485,345
1745426100,1745426160,1.135225,1.1348,1.134765,1.135265,405
1745426160,1745426220,1.1348,1.135035,1.134635,1.13504,448
1745426220,1745426280,1.135045,1.1354,1.135045,1.13541,477
1745426280,1745426340,1.135405,1.135085,1.135035,1.135425,411
1745426340,1745426400,1.13509,1.13479,1.13465,1.135105,401
1745426400,1745426460,1.134785,1.13488,1.134755,1.13494,265
1745426460,1745426520,1.134875,1.134975,1.13481,1.135075,280
1745426520,1745426580,1.13499,1.13534,1.134935,1.13534,313
1745426580,1745426640,1.135345,1.135225,1.13514,1.135365,351
1745426640,1745426700,1.13523,1.134865,1.13479,1.135265,387
1745426700,1745426760,1.13486,1.134795,1.134755,1.135035,213
1745426760,1745426820,1.1348,1.13487,1.134765,1.134965,196
1745426820,1745426880,1.134865,1.134915,1.134865,1.135125,278
1745426880,1745426940,1.13492,1.13497,1.134905,1.135125,331
1745426940,1745427000,1.134975,1.13497,1.13481,1.135035,338
1745427000,1745427060,1.134965,1.13482,1.134815,1.13503,270
1745427060,1745427120,1.13482,1.13446,1.13442,1.134845,279
1745427120,1745427180,1.13446,1.134455,1.134295,1.134565,255
1745427180,1745427240,1.13445,1.134305,1.134255,1.13464,293
1745427240,1745427300,1.13431,1.134125,1.134125,1.134405,226
1745427300,1745427360,1.134125,1.134125,1.13408,1.13436,221
1745427360,1745427420,1.13413,1.134025,1.133995,1.13435,441
1745427420,1745427480,1.13402,1.133995,1.13386,1.13409,494
1745427480,1745427540,1.134,1.133925,1.13391,1.13402,346
1745427540,1745427600,1.13392,1.13399,1.13368,1.134,372
1745427600,1745427660,1.133985,1.13427,1.13391,1.134405,738
1745427660,1745427720,1.134265,1.134105,1.134005,1.134265,227
1745427720,1745427780,1.134095,1.13397,1.13392,1.134265,601
1745427780,1745427840,1.13398,1.134065,1.133845,1.13408,338
1745427840,1745427900,1.134065,1.134065,1.13401,1.13423,254
1745427900,1745427960,1.13406,1.13367,1.133495,1.134065,579
1745427960,1745428020,1.13367,1.133685,1.13367,1.133845,371
1745428020,1745428080,1.13368,1.133725,1.13363,1.13379,277
1745428080,1745428140,1.13373,1.133565,1.133525,1.13391,367
1745428140,1745428200,1.13357,1.133715,1.133535,1.133725,240
1745428200,1745428260,1.13371,1.13375,1.13362,1.133765,307
1745428260,1745428320,1.133745,1.13367,1.1336,1.13387,257
1745428320,1745428380,1.13367,1.13337,1.13337,1.13367,197
1745428380,1745428440,1.133365,1.13323,1.13321,1.13337,254
1745428440,1745428500,1.13324,1.13318,1.133135,1.133325,294
1745428500,1745428560,1.133185,1.132925,1.13283,1.13319,339
1745428560,1745428620,1.13292,1.132825,1.13279,1.13294,342
1745428620,1745428680,1.13282,1.132835,1.132795,1.13294,224
1745428680,1745428740,1.132835,1.13294,1.1328,1.13296,201
1745428740,1745428800,1.132945,1.13317,1.132925,1.133185,230
1745428800,1745428860,1.133165,1.13303,1.13303,1.13352,399
1745428860,1745428920,1.133035,1.13273,1.13261,1.133075,427
1745428920,1745428980,1.13273,1.132935,1.132655,1.132935,347
